,precision,recall,f1-score,support
0,1.0,1.0,1.0,400672.0
1,0.9407155025553663,1.0,0.9694522471910112,2761.0
2,0.6491044280348519,0.9931972789115646,0.7851039171753071,25578.0
3,0.186510281705081,0.47251228501228504,0.26745184106737363,26048.0
4,0.6635648676232214,1.0,0.7977625405990617,11053.0
5,0.4998717619902539,0.16846745613276862,0.25200413757434703,11569.0
6,1.0,0.00887617217685512,0.01759615782718503,47881.0
7,0.0,0.0,0.0,4154.0
accuracy,0.8581428539066217,0.8581428539066217,0.8581428539066217,0.8581428539066217
macro avg,0.6174708552385968,0.5803816490291842,0.5111713551792858,529716.0
weighted avg,0.9169606492478789,0.8581428539066217,0.8362448143267144,529716.0
