,precision,recall,f1-score,support
0,0.967535411041031,0.9908428839549557,0.9790504515435341,400672.0
1,0.9502699630576869,0.5558510638297872,0.7014158363922391,6016.0
2,0.7741659276474726,0.8931066111620687,0.8293937458024145,56692.0
3,0.81320410709145,0.7338921989746432,0.7715151901384729,57736.0
4,0.9666358190054064,0.8208628034909211,0.8878053144851034,24177.0
5,0.7364929514575492,0.905923891722244,0.8124692139891633,25490.0
6,0.9887382668454576,0.8916654069987151,0.937696220641418,105848.0
7,0.9299426934097421,0.7180309734513274,0.8103620474406992,9040.0
accuracy,0.9292517840188662,0.9292517840188662,0.9292517840188662,0.9292517840188662
macro avg,0.8908731424444745,0.8137719791980829,0.8412135025541306,685671.0
weighted avg,0.9325573765754104,0.9292517840188662,0.9287475527937726,685671.0
