,precision,recall,f1-score,support
0,0.9989030440527537,0.9999875210582143,0.9994449883697001,80135.0
1,1.0,0.9858686616791354,0.9928840519045625,1203.0
2,0.9804305283757339,0.972043390069671,0.9762189451308623,11339.0
3,0.9714628502870855,0.9817268554602927,0.9765678842177808,11547.0
4,0.9987525987525988,0.99358841778697,0.9961638154484189,4835.0
5,0.9958628841607565,0.9915653197332287,0.9937094554747395,5098.0
6,0.9991473639334943,0.996362777515352,0.9977531278825004,21170.0
7,0.9928532160527762,0.9988938053097345,0.9958643507030603,1808.0
accuracy,0.9949028329748059,0.9949028329748059,0.9949028329748059,0.9949028329748059
macro avg,0.9921765607018999,0.9900045935765749,0.9910758273914531,137135.0
weighted avg,0.9949143897342085,0.9949028329748059,0.9949034086877575,137135.0
