,precision,recall,f1-score,support
0,1.0,1.0,1.0,400672.0
1,1.0,1.0,1.0,6016.0
2,0.9998941761614166,1.0,0.9999470852808889,56692.0
3,1.0,0.999826797838437,0.9999133914188217,57736.0
4,1.0,1.0,1.0,24177.0
5,0.9998823206370376,1.0,0.999941156856207,25490.0
6,0.9999905525796181,1.0,0.9999952762674955,105848.0
7,1.0,1.0,1.0,9040.0
accuracy,0.9999854157460356,0.9999854157460356,0.9999854157460356,0.9999854157460356
macro avg,0.999970881172259,0.9999783497298046,0.9999746137279266,685671.0
weighted avg,0.9999854172007108,0.9999854157460356,0.9999854154781634,685671.0
